42,25625,    -41,      4,     54,  -8266,   2370,   5761,     11,    137,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43,26250,    -41,     12,     45,  -7866,    684,   7114,     14,    171,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44,26875,    -42,      7,     52,  -7206,   -667,   7873,     11,    210,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45,27500,    -36,      7,     42,  -6366,  -1815,   8253,     10,    249,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46,28125,     -2,    -30,     50,  -4876,  -3397,   8400,     16,    288,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47,28750,      8,    -47,     56,  -2913,  -5230,   8321,      7,    320,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48,29375,     -6,    -34,     58,  -1096,  -6744,   8058,     11,    345,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49,30000,     -2,    -38,     59,    406,  -7666,   7509,      8,    361,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50,30625,     -2,    -34,     54,   1591,  -8104,   6787,      3,    377,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51,31250,     21,    -37,     30,   2982,  -8280,   5581,      8,    384,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52,31875,     58,    -45,      2,   4804,  -8242,   3717,      0,    388,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53,32500,     46,    -45,     13,   6461,  -8035,   1841,      2,    388,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54,33125,     44,    -46,     15,   7586,  -7589,    243,      0,    377,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55,33750,     45,    -44,     11,   8120,  -6916,   -996,     -3,    361,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56,34375,     41,    -28,      2,   8372,  -5968,  -2235,      0,    338,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57,35000,     48,      4,    -41,   8398,  -4284,  -3986,     -5,    317,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58,35625,     53,      4,    -42,   8233,  -2375,  -5783,     -3,    290,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59,36250,     53,     -2,    -35,   7846,   -696,  -7139,     -6,    258,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60,36875,     54,      2,    -41,   7191,    650,  -7888,     -3,    214,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61,37500,     46,      1,    -32,   6338,   1808,  -8266,     -1,    173,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62,38125,     13,     39,    -39,   4843,   3390,  -8416,     -8,    134,    226,    241,    246,  50840,  50019,  50674,      4,      0, -99989,      0,  87816,  93472,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
